date,activity,total_minutes
2026-02-03,Functional Strength,50
2026-02-04,Walking,35
2026-02-05,Boxing,40
2026-02-06,Rucking,55
2026-02-07,Running,45
2026-02-08,Functional Strength,50
2026-02-09,Walking,35
2026-02-10,Boxing,40
2026-02-11,Rucking,55
2026-02-12,Running,45
2026-02-13,Functional Strength,50
2026-02-14,Walking,35
2026-02-15,Boxing,40
2026-02-16,Rucking,55
2026-02-17,Running,45
2026-02-18,Functional Strength,50
2026-02-19,Walking,35
2026-02-20,Boxing,40
2026-02-21,Rucking,55
2026-02-22,Running,45
2026-02-23,Functional Strength,50
2026-02-24,Walking,35
2026-02-25,Boxing,40
2026-02-26,Rucking,55
2026-02-27,Running,45
2026-02-28,Functional Strength,50
2026-03-01,Walking,35
2026-03-02,Boxing,40
2026-03-03,Rucking,55
2026-03-04,Running,45
