date,step_count
2026-02-03,6417
2026-02-04,6244
2026-02-05,10871
2026-02-06,10698
2026-02-07,10525
2026-02-08,10352
2026-02-09,10179
2026-02-10,10006
2026-02-11,9833
2026-02-12,9660
2026-02-13,9487
2026-02-14,9314
2026-02-15,9141
2026-02-16,8968
2026-02-17,8795
2026-02-18,8622
2026-02-19,8449
2026-02-20,8276
2026-02-21,8103
2026-02-22,7930
2026-02-23,7757
2026-02-24,7584
2026-02-25,7411
2026-02-26,7238
2026-02-27,7065
2026-02-28,6892
2026-03-01,6719
2026-03-02,6546
2026-03-03,6373
2026-03-04,6200
